Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000020000000 CH2:0.0000020000000,,Second,Volt,Volt
,,,-0.02023399994,-2.04000,0.04000
,,,-0.02023199946,-2.04000,0.04000
,,,-0.02023000084,-2.04000,0.04000
,,,-0.02022800036,-2.04000,0.06000
,,,-0.02022599988,-2.04000,0.06000
,,,-0.02022399940,-2.04000,0.06000
,,,-0.02022200078,-2.04000,0.06000
,,,-0.02022000030,-2.04000,0.06000
,,,-0.02021799982,-2.04000,0.06000
,,,-0.02021599934,-2.04000,0.06000
,,,-0.02021400072,-2.04000,0.06000
,,,-0.02021200024,-2.04000,0.06000
,,,-0.02020999976,-2.04000,0.04000
,,,-0.02020799927,-2.04000,0.06000
,,,-0.02020600066,-2.04000,0.06000
,,,-0.02020400017,-2.04000,0.04000
,,,-0.02020199969,-2.04000,0.06000
,,,-0.02019999921,-2.04000,0.06000
,,,-0.02019800059,-2.04000,0.06000
,,,-0.02019600011,-2.04000,0.04000
,,,-0.02019399963,-2.04000,0.06000
,,,-0.02019199915,-2.04000,0.04000
,,,-0.02019000053,-2.04000,0.04000
,,,-0.02018800005,-2.04000,0.04000
,,,-0.02018599957,-2.04000,0.06000
,,,-0.02018399909,-2.04000,0.06000
,,,-0.02018200047,-2.04000,0.04000
,,,-0.02017999999,-2.04000,0.06000
,,,-0.02017799951,-2.04000,0.06000
,,,-0.02017599903,-2.04000,0.04000
,,,-0.02017400041,-2.04000,0.06000
,,,-0.02017199993,-2.04000,0.04000
,,,-0.02016999945,-2.04000,0.06000
,,,-0.02016800083,-2.04000,0.06000
,,,-0.02016600035,-2.04000,0.04000
,,,-0.02016399987,-2.04000,0.06000
,,,-0.02016199939,-2.04000,0.06000
,,,-0.02016000077,-2.04000,0.06000
,,,-0.02015800029,-2.04000,0.06000
,,,-0.02015599981,-2.04000,0.04000
,,,-0.02015399933,-2.04000,0.06000
,,,-0.02015200071,-2.04000,0.06000
,,,-0.02015000023,-2.04000,0.04000
,,,-0.02014799975,-2.04000,0.04000
,,,-0.02014599927,-2.04000,0.06000
,,,-0.02014400065,-2.04000,0.06000
,,,-0.02014200017,-2.04000,0.04000
,,,-0.02013999969,-2.04000,0.06000
,,,-0.02013799921,-2.04000,0.06000
,,,-0.02013600059,-2.04000,0.06000
,,,-0.02013400011,-2.04000,0.06000
,,,-0.02013199963,-2.04000,0.06000
,,,-0.02012999915,-2.04000,0.06000
,,,-0.02012800053,-2.04000,0.04000
,,,-0.02012600005,-2.04000,0.06000
,,,-0.02012399957,-2.04000,0.06000
,,,-0.02012199908,-2.04000,0.06000
,,,-0.02012000047,-2.04000,0.06000
,,,-0.02011799999,-2.04000,0.06000
,,,-0.02011599950,-2.04000,0.06000
,,,-0.02011399902,-2.04000,0.04000
,,,-0.02011200041,-2.04000,0.04000
,,,-0.02010999992,-2.04000,0.04000
,,,-0.02010799944,-2.04000,0.06000
,,,-0.02010600083,-2.04000,0.06000
,,,-0.02010400034,-2.04000,0.06000
,,,-0.02010199986,-2.04000,0.04000
,,,-0.02009999938,-2.04000,0.06000
,,,-0.02009800076,-2.04000,0.04000
,,,-0.02009600028,-2.04000,0.06000
,,,-0.02009399980,-2.04000,0.04000
,,,-0.02009199932,-2.04000,0.04000
,,,-0.02009000070,-2.04000,0.04000
,,,-0.02008800022,-2.04000,0.06000
,,,-0.02008599974,-2.04000,0.04000
,,,-0.02008399926,-2.04000,0.04000
,,,-0.02008200064,-2.04000,0.04000
,,,-0.02008000016,-2.04000,0.04000
,,,-0.02007799968,-2.04000,0.04000
,,,-0.02007599920,-2.04000,0.04000
,,,-0.02007400058,-2.04000,0.04000
,,,-0.02007200010,-2.04000,0.04000
,,,-0.02006999962,-2.04000,0.06000
,,,-0.02006799914,-2.04000,0.04000
,,,-0.02006600052,-2.04000,0.04000
,,,-0.02006400004,-2.04000,0.06000
,,,-0.02006199956,-2.04000,0.06000
,,,-0.02005999908,-2.04000,0.06000
,,,-0.02005800046,-2.04000,0.04000
